zip_code,submarket,city,county,representative_address,sv_real_estate,sv_apartments_for_sale,sv_homes_for_sale,sv_homes_for_sale_alt,sv_real_estate_alt,total_monthly_sv,sv_rank,total_population_zip,total_population_city,total_population_county,median_age_zip,median_age_city,median_age_county,population_density_zip,population_density_city,population_density_county,population_growth_pct_zip,population_growth_pct_city,population_growth_pct_county,avg_household_size_zip,avg_household_size_city,avg_household_size_county,median_hhi_zip,median_hhi_city,median_hhi_county,median_hhi_2029_zip,median_hhi_2029_city,median_hhi_2029_county,hhi_growth_5yr_pct_zip,hhi_growth_5yr_pct_city,hhi_growth_5yr_pct_county,per_capita_income_zip,per_capita_income_city,per_capita_income_county,unemployment_rate_zip,unemployment_rate_city,unemployment_rate_county,median_home_value_zip,median_home_value_city,median_home_value_county,median_home_value_2029_zip,median_home_value_2029_city,median_home_value_2029_county,home_value_growth_5yr_pct_zip,home_value_growth_5yr_pct_city,home_value_growth_5yr_pct_county,median_rent_zip,median_rent_city,median_rent_county,renter_units_zip,renter_units_city,renter_units_county,owner_units_zip,owner_units_city,owner_units_county,renter_units_2029_zip,renter_units_2029_city,renter_units_2029_county,renter_share_pct_zip,renter_share_pct_city,renter_share_pct_county,mgmt_occupations_zip,mgmt_occupations_city,mgmt_occupations_county,sales_occupations_zip,sales_occupations_city,sales_occupations_county,production_occupations_zip,production_occupations_city,production_occupations_county,construction_occupations_zip,construction_occupations_city,construction_occupations_county,white_collar_share_pct_zip,white_collar_share_pct_city,white_collar_share_pct_county,blue_collar_share_pct_zip,blue_collar_share_pct_city,blue_collar_share_pct_county,crime_total_index_zip,crime_personal_index_zip,crime_property_index_zip,crime_total_index_city,crime_total_index_state,crime_zip_vs_city_ratio,crime_zip_vs_state_ratio,safety_label,multifamily_opportunity_score,blog_url_slug,blog_post_status
64120,KCMO Core,"Kansas City, MO","Jackson County, MO","1300 Front St, Kansas City, MO 64120",0,0,0,0,0,0,57,1656,520858,726617,32.5,35.8,37.4,189.5,1655.2,1202,-0.12,0.43,0.12,1.93,2.28,2.35,92156,65404,64942,98273,76496,76038,6.64,16.96,17.09,47083,40144,38972,5,3.5,3.5,72619,262370,247787,125000,310549,302390,72.13,18.36,22.04,1638,1097,1037,763,110717,134222,94,113830,170115,768,114376,136320,89.03,49.31,44.1,92,33009,41731,81,21377,32758,47,14385,20160,61,10161,18433,61.57,68.9,65.87,38.43,31.1,34.13,,,,,,,,,42.6,64120-real-estate-kansas-city,not started
66112,Kansas City KS,"Kansas City, KS","Wyandotte County, KS","5100 Leavenworth Rd, Kansas City, KS 66112",10,0,720,720,0,1450,2,26805,154975,167216,34.8,35,35.1,1669.4,1242.4,1102.7,-0.18,0.14,0.11,2.77,2.68,2.68,53267,58588,60344,58863,66653,68849,10.51,13.77,14.09,24439,29734,30404,5,3.9,3.8,132218,180531,185323,139119,186733,191537,5.22,3.44,3.35,799,877,885,3516,23507,24913,6087,33185,36412,3233,22999,24259,36.61,41.46,40.62,402,5456,6034,919,6130,6512,1743,7291,7796,1158,6131,6320,31.29,46.33,47.06,68.71,53.67,52.94,167,165,168,226,871,73.9,19.2,Below Avg,42.0,66112-real-estate-kansas-city,not started
66207,Johnson County KS,"Overland Park, KS","Johnson County, KS","9700 Nall Ave, Overland Park, KS 66207",0,0,210,210,0,420,13,14590,205979,631366,43.1,39.3,38.9,3270.6,2738.4,1333.1,0.55,0.43,0.57,2.38,2.39,2.51,118963,103061,104938,142813,116673,118287,20.05,13.21,12.72,72609,60312,57707,1.6,2.5,2.5,463466,398654,394830,490816,414052,412323,5.9,3.86,4.43,1521,1308,1239,1500,33071,80116,4597,52426,169278,1464,33599,83375,24.6,38.68,32.12,1492,18069,55832,984,12738,35970,137,2495,10687,123,1670,7851,90.5,88.09,83.2,9.5,11.91,16.8,,,,,,,,,40.1,66207-real-estate-kansas-city,not started
64119,KCMO Core,"Kansas City, MO","Clay County, MO","7700 N Indiana Ave, Kansas City, MO 64119",20,0,480,480,20,1000,7,31623,520858,263462,39.4,35.8,37.9,2200.5,1655.2,662.5,0.49,0.43,0.6,2.41,2.28,2.49,77020,65404,81325,85652,76496,93497,11.21,16.96,14.97,39378,40144,41685,2.7,3.5,2.7,256831,262370,284761,295980,310549,329079,15.24,18.36,15.56,1054,1097,1106,3351,110717,34373,9705,113830,70658,3325,114376,35515,25.67,49.31,32.73,1740,33009,17809,1487,21377,12113,1119,14385,9456,839,10161,5147,62.24,68.9,67.2,37.76,31.1,32.8,109,98,111,444,380,24.5,28.7,Below Avg,39.8,64119-real-estate-kansas-city,not started
64123,KCMO Core,"Kansas City, MO","Jackson County, MO","2400 Independence Ave, Kansas City, MO 64123",0,0,140,140,0,280,19,12249,520858,726617,31.8,35.8,37.4,8660.2,1655.2,1202,0.19,0.43,0.12,2.84,2.28,2.35,39629,65404,64942,44837,76496,76038,13.14,16.96,17.09,18688,40144,38972,3.5,3.5,3.5,107935,262370,247787,189108,310549,302390,75.21,18.36,22.04,735,1097,1037,2483,110717,134222,1795,113830,170115,2494,114376,136320,58.04,49.31,44.1,418,33009,41731,371,21377,32758,584,14385,20160,535,10161,18433,41.35,68.9,65.87,58.65,31.1,34.13,,,,,,,,,38.0,64123-real-estate-kansas-city,not started
66206,Johnson County KS,"Leawood, KS","Johnson County, KS","9100 Mission Rd, Leawood, KS 66206",10,0,110,110,10,240,25,14590,34503,631366,43.1,45.6,38.9,3270.6,2284.1,1333.1,0.55,1.44,0.57,2.38,2.65,2.51,118963,190646,104938,142813,200001,118287,20.05,4.91,12.72,72609,95486,57707,1.6,1.6,2.5,463466,619360,394830,490816,631743,412323,5.9,2.0,4.43,1521,1617,1239,1500,1522,80116,4597,11446,169278,1464,2355,83375,24.6,11.74,32.12,1492,3943,55832,984,2008,35970,137,120,10687,123,148,7851,90.5,95.69,83.2,9.5,4.31,16.8,,,,,,,,,37.0,66206-real-estate-kansas-city,not started
64124,KCMO Core,"Kansas City, MO","Jackson County, MO","3100 Independence Ave, Kansas City, MO 64124",0,0,90,90,0,180,30,12249,520858,726617,31.8,35.8,37.4,8660.2,1655.2,1202,0.19,0.43,0.12,2.84,2.28,2.35,39629,65404,64942,44837,76496,76038,13.14,16.96,17.09,18688,40144,38972,3.5,3.5,3.5,107935,262370,247787,189108,310549,302390,75.21,18.36,22.04,735,1097,1037,2483,110717,134222,1795,113830,170115,2494,114376,136320,58.04,49.31,44.1,418,33009,41731,371,21377,32758,584,14385,20160,535,10161,18433,41.35,68.9,65.87,58.65,31.1,34.13,,,,,,,,,36.3,64124-real-estate-kansas-city,not started
64117,KCMO Core,"Kansas City, MO","Clay County, MO","5800 NE Antioch Rd, Kansas City, MO 64117",10,0,210,210,0,430,12,42472,520858,263462,36.7,35.8,37.9,3347.5,1655.2,662.5,0.23,0.43,0.6,2.27,2.28,2.49,65532,65404,81325,76569,76496,93497,16.84,16.96,14.97,38254,40144,41685,3.3,3.5,2.7,240654,262370,284761,285860,310549,329079,18.78,18.36,15.56,991,1097,1106,7666,110717,34373,10990,113830,70658,7629,114376,35515,41.09,49.31,32.73,2619,33009,17809,1801,21377,12113,1621,14385,9456,686,10161,5147,65.71,68.9,67.2,34.29,31.1,32.8,,,,,,,,,35.8,64117-real-estate-kansas-city,not started
64055,KCMO/MO Suburbs,"Independence, MO","Jackson County, MO","16500 E 24 Hwy, Independence, MO 64055",0,0,210,210,0,420,14,17073,123133,726617,34.5,40.2,37.4,852.8,1578.8,1202,-0.11,-0.02,0.12,2.74,2.37,2.35,67664,58075,64942,81085,67631,76038,19.83,16.45,17.09,32415,32641,38972,3.8,4.3,3.5,213846,197704,247787,284188,263368,302390,32.89,33.21,22.04,978,904,1037,2090,20192,134222,4133,31146,170115,2040,19954,136320,33.59,39.33,44.1,621,5319,41731,765,5241,32758,679,4055,20160,404,3740,18433,56.14,57.53,65.87,43.86,42.47,34.13,,,,,,,,,35.8,64055-real-estate-kansas-city,not started
66106,Kansas City KS,"Kansas City, KS","Wyandotte County, KS","2200 S 42nd St, Kansas City, KS 66106",10,0,390,390,10,800,8,23745,154975,167216,35.5,35,35.1,1277.5,1242.4,1102.7,-0.28,0.14,0.11,2.82,2.68,2.68,64048,58588,60344,76219,66653,68849,19.0,13.77,14.09,28979,29734,30404,2.9,3.9,3.8,186558,180531,185323,191947,186733,191537,2.89,3.44,3.35,792,877,885,2885,23507,24913,5519,33185,36412,2649,22999,24259,34.33,41.46,40.62,814,5456,6034,1220,6130,6512,812,7291,7796,1039,6131,6320,52.36,46.33,47.06,47.64,53.67,52.94,91,157,79,226,871,40.3,10.4,Below Avg,35.6,66106-real-estate-kansas-city,not started
